"UNIQUEID","StreetAddress","City","State","Zip"
"320","15101 Alton Pkwy, Bldg 1","Irvine","CA","92618"
"321","278 Broadway St","Laguna Beach","CA","92651"
"322","118 S El Camino Real","San Clemente","CA","92677"
"323","949 S Euclid St","Anaheim","CA","92802"
"324","316 S Main St","Orange","CA","92868"
"325","15346 Alton Pkwy","Irvine","CA","92618"
"326","4678 Campus Dr, Ste B","Newport Beach","CA","92660"
"327","22361 Antonio Pkwy, Ste E110","Rancho Santa Margarita","CA","92688"
"328","222 Forest Ave","Laguna Beach","CA","92651"
"329","510 N Tustin St","Orange","CA","92867"
"330","12879 Harbor Blvd, Ste N3","Garden Grove","CA","92840"
"331","180 5th St, Ste 120","Huntington Beach","CA","92648"
"332","1104 N Harbor Blvd","Santa Ana","CA","92703"
"333","240 S Brea Blvd","Brea","CA","92821"
"334","1500 E Village Way, Ste 2295","Orange","CA","92865"
"335","7491 Center Ave","Huntington Beach","CA","92647"
"336","23642 Rockfield Blvd, Ste 502","Lake Forest","CA","92630"
"337","1201 S Anaheim Blvd","Anaheim","CA","92805"
"338","2210 E Lincoln Ave","Anaheim","CA","92806"
"339","8295 E Santa Ana Canyon Rd","Anaheim","CA","92808"
"340","1329 S Harbor Blvd","Fullerton","CA","92832"
"341","2751 W Orangethorpe Ave","Fullerton","CA","92833"
"342","12401 Valley View St","Garden Grove","CA","92845"
"343","16331 Beach Blvd","Huntington Beach","CA","92647"
"344","8695 Irvine Center Dr","Irvine","CA","92618"
"345","5545 Orangethorpe","La Palma","CA","90623"
"346","27702 Crown Valley Pkwy, Ste G","Ladera Ranch","CA","92694"
"347","2122 SE Bristol St","Newport Beach","CA","92660"
"348","2620 W Chapman Ave","Orange","CA","92868"
"349","701 N Main St","Santa Ana","CA","92701"
"350","601 E Dyer Rd","Santa Ana","CA","92705"
"351","13221 Jamboree Rd","Tustin","CA","92782"
"352","1626 W Katella Ave","Anaheim","CA","92802"
"353","1188 Yorba Linda Blvd","Placentia","CA","92870"
"354","2850 S Bristol St","Santa Ana","CA","92704"
"355","1766 E McFadden Ave","Santa Ana","CA","92705"
"356","2222 Michelson Dr, Ste 214","Irvine","CA","92612"
"357","129 W Chapman Ave","Orange","CA","92866"
"358","3701 S Harbor Blvd, Ste E","Santa Ana","CA","92704"
"359","13602 Browning Ave","Tustin","CA","92780"
"360","150 Olinda Pl","Brea","CA","92823"
"361","19000 MacArthur Blvd, Ste 175","Irvine","CA","92612"
"362","10947 Westminster Ave","Garden Grove","CA","92843"
"363","4100 Newport Place Dr, Ste 160","Newport Beach","CA","92660"
"364","8 Argonaut, Ste 180","Aliso Viejo","CA","92656"
"365","2680 Walnut Ave, Ste D","Tustin","CA","92780"
"366","14331 Euclid St, Ste 107","Garden Grove","CA","92843"
"367","1301 Dove St, Ste 150","Newport Beach","CA","92660"
"368","10094 Westminster Ave","Garden Grove","CA","92843"
"369","7771 Westminster Blvd","Westminster","CA","92683"
"370","23422 Peralta Dr, Ste E","Laguna Hills","CA","92653"
"371","840 E Whittier Blvd","La Habra","CA","90631"
"372","2633 W Woodland Dr","Anaheim","CA","92801"
"373","2720 Nutwood Ave, Ste A","Fullerton","CA","92831"
"374","3851 Alton Pkwy, Ste B","Irvine","CA","92606"
"375","24312 Rockfield Blvd","Lake Forest","CA","92630"
"376","1140 Irvine Blvd","Tustin","CA","92780"
"377","5454 La Palma Ave","La Palma","CA","90603"
"378","5401 S Beach Blvd","Buena Park","CA","90621"
"379","12422 Valley View St","Garden Grove","CA","92845"
"380","18854 Brookhurst St","Fountain Valley","CA","92708"
"381","1224 E Warner Ave","Santa Ana","CA","92707"
"382","41 Auto Center Dr, Ste 113","Foothill Ranch","CA","92610"
"383","25513 Marguerite Pkwy","Mission Viejo","CA","92692"
"384","1770 S Harbor Blvd, Ste 140","Anaheim","CA","92802"
"385","1198 W Ball Rd","Anaheim","CA","92802"
"386","6041 Bolsa Ave, Ste 3","Huntington Beach","CA","92647"
"387","1029 E Imperial Hwy","Placentia","CA","92870"
"388","3950 Campus Dr","Newport Beach","CA","92660"
"389","545 Newport Center Dr","Newport Beach","CA","92660"
"390","1313 S Harbor Blvd","Anaheim","CA","92802"
"391","75 Esencia Dr","Rancho Mission Viejo","CA","92694"
"392","220 S Imperial Hwy","Anaheim","CA","92807"
"393","32972 Calle Perfecto","San Juan Capistrano","CA","92675"
"394","32032 Del Obispo Dr","San Juan Capistrano","CA","92675"
"395","26301 Via Escolar","Mission Viejo","CA","92692"
"396","1441 S Coast Hwy","Laguna Beach","CA","92651"
"397","2119 S Harbor Blvd","Anaheim","CA","92802"
"398","275 S Harbor Blvd","Anaheim","State","92805"
"399","1550 Adams Ave","Costa Mesa","CA","92626"
"400","222 N Euclid St","Fullerton","CA","92832"
"401","11051 Euclid St","Garden Grove","CA","92840"
"402","10012 Westminster Ave","Garden Grove","CA","92843"
"403","6882 Warner Ave","Huntington Beach","CA","92647"
"404","8271 Warner Ave","Huntington Beach","CA","92647"
"405","55 Technology Dr","Irvine","CA","92618"
"406","701 S Beach Blvd","La Habra","CA","90631"
"407","24901 Alicia Pkwy","Laguna Hills","CA","92653"
"408","23402 El Toro Rd","Lake Forest","CA","92630"
"409","4880 Campus Dr","Newport Beach","CA","92660"
"410","450 S City Dr","Orange","CA","92868"
"411","28722 Camino Capistrano","San Juan Capistrano","CA","92675"
"412","2511 S Bristol St","Santa Ana","CA","92704"
"413","3325 S Harbor Blvd","Santa Ana","CA","92704"
"414","13902 Seal Beach Blvd","Seal Beach","CA","90740"
"415","6751 Westminster Blvd","Westminster","CA","92683"
"416","23002 Aliso Creek Rd","Aliso Viejo","CA","92656"
"417","1200 N Harbor Blvd","Anaheim","CA","92801"
"418","1189 S State College Blvd","Anaheim","CA","92806"
"419","2820 E Lincoln Ave","Anaheim","CA","92806"
"420","3110 E La Palma Ave","Anaheim","CA","92806"
"421","1091 N Tustin Ave","Anaheim","CA","92807"
"422","1130 E Imperial Hwy","Brea","CA","92821"
"423","6947 Katella Ave","Cypress","CA","90630"
"424","4010 N Harbor Blvd","Fullerton","CA","92835"
"425","9917 Chapman Ave","Garden Grove","CA","92841"
"426","21532 Brookhurst St","Huntington Beach","CA","92646"
"427","19125 Goldenwest St","Huntington Beach","CA","92648"
"428","17971 MacArthur Blvd","Irvine","CA","92614"
"429","6500 Irvine Center Dr","Irvine","CA","92618"
"430","4770 Irvine Blvd","Irvine","CA","92620"
"431","6324 Irvine Blvd","Irvine","CA","92620"
"432","5012 La Palma Ave","La Palma","CA","90623"
"433","28022 La Paz Rd","Laguna Niguel","CA","92677"
"434","31181 Niguel Rd","Laguna Niguel","CA","92677"
"435","20552 Lake Forest Dr","Lake Forest","CA","92630"
"436","26338 Oso Pkwy","Mission Viejo","CA","92691"
"437","2092 Se Bristol St","Newport Beach","CA","92660"
"438","402 S Main St","Orange","CA","92868"
"439","3510 E Chapman Ave","Orange","CA","92869"
"440","1285 E Imperial Hwy","Placentia","CA","92870"
"441","31461 Santa Margarita Pkwy","Rancho Santa Margarita","CA","92688"
"442","957 Avenida Pico","San Clemente","CA","92673"
"443","1720 E Dyer Rd","Santa Ana","CA","92705"
"444","1809 E Edinger Ave","Santa Ana","CA","92705"
"445","1943 E 17th St","Santa Ana","CA","92705"
"446","1830 N Bristol St, Ste 18","Santa Ana","CA","92706"
"447","18601 N Airport Way, Ste 100","Santa Ana","CA","92707"
"448","34312 Pacific Coast Hwy","Dana Point","CA","92629"
"449","1313 S Harbor Blvd","Anaheim","CA","92802"
"450","2930 W Lincoln Ave","Anaheim","CA","92801"
"451","1313 S Harbor Blvd","Anaheim","CA","92802"
"452","3333 Bristol St, Ste 1075","Costa Mesa","CA","92626"
"453","27231 Calle Arroyo","San Juan Capistrano","CA","92675"
